symbol,timeframe,decision,side,score,reasons,entry_price,stop_loss,take_profit,reward_risk,strategy_version,triangle_type,open_time
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774407600000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774411200000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774414800000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774418400000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774422000000
BTC,1h,rejected,long,0.0,trend is not bullish for long;blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774425600000
BTC,1h,rejected,long,0.0,trend is not bullish for long;blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774429200000
BTC,1h,rejected,long,0.0,trend is not bullish for long;blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774432800000
BTC,1h,rejected,long,0.0,trend is not bullish for long;blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774436400000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,ascending,1774440000000
BTC,1h,rejected,long,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774443600000
BTC,1h,rejected,long,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,ascending,1774447200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774450800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774454400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774458000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774461600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774465200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774468800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774472400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774476000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774479600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774483200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774486800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774490400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774494000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774497600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774501200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774504800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774508400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774512000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774515600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774519200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774522800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774526400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774530000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774533600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774537200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774540800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774544400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774548000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774551600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774555200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774558800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774562400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774566000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774569600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774573200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774576800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774580400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774584000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774587600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774591200000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1774594800000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774598400000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774602000000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774605600000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774609200000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1774612800000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774616400000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1774620000000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1774623600000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774627200000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774630800000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774634400000
BTC,1h,rejected,short,0.0,blocked by nearby opposite zone,,,,,triangle-trend-zones-v1,descending,1774638000000
BTC,1h,no_setup,,0.0,no confirmed breakout,,,,,triangle-trend-zones-v1,descending,1774641600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774645200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774648800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774652400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774656000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774659600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774663200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774666800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774670400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774674000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774677600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774681200000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774684800000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774688400000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774692000000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774695600000
BTC,1h,no_setup,,0.0,no valid triangle,,,,,triangle-trend-zones-v1,,1774699200000
